Designator,Mid X,Mid Y,Rotation,Layer
J2,168.6032,-66.9021,90.0,top
J3,120.977,-53.3666,0.0,top
J4,156.6672,-66.548,180.0,top
J5,133.4362,-64.1666,270.0,top
J6,121.4274,-64.1666,270.0,bottom
J7,156.7434,-53.5178,270.0,top
J8,97.7138,-65.0802,180.0,bottom
J9,108.585,-61.087,0.0,top
K1,148.3606,-62.6335,0.0,top
K2,148.3606,-67.8151,0.0,top
K3,148.3606,-77.5687,180.0,top
K4,148.3606,-82.6487,180.0,top
R1,113.9952,-60.2488,270.0,top
R2,150.9268,-58.6232,0.0,top
R3,146.4056,-58.6486,0.0,top
R4,145.3134,-72.8726,180.0,top
R5,149.479,-72.8472,180.0,top
R6,156.8704,-79.0956,0.0,top
R7,156.9466,-82.7278,0.0,top
